provincename,confirmedCount,deadCount,dt
湖北,1052,52,2020-01-25
安徽,60,0,2020-01-25
北京,51,0,2020-01-25
山东,39,0,2020-01-25
江西,36,0,2020-01-25
广西,33,0,2020-01-25
江苏,31,0,2020-01-25
浙江,104,0,2020-01-25
四川,28,0,2020-01-25
海南,19,0,2020-01-25
辽宁,19,0,2020-01-25
福建,18,0,2020-01-25
黑龙江,15,1,2020-01-25
陕西,15,0,2020-01-25
河北,13,1,2020-01-25
云南,11,0,2020-01-25
山西,9,0,2020-01-25
内蒙古,7,0,2020-01-25
甘肃,7,0,2020-01-25
贵州,5,0,2020-01-25
吉林,4,0,2020-01-25
新疆,4,0,2020-01-25
宁夏,3,0,2020-01-25
青海,1,0,2020-01-25
广东,98,0,2020-01-25
河南,83,1,2020-01-25
重庆,75,0,2020-01-25
湖南,69,0,2020-01-25
湖北,1423,76,2020-01-26
安徽,70,0,2020-01-26
四川,69,0,2020-01-26
北京,68,0,2020-01-26
山东,63,0,2020-01-26
广东,146,0,2020-01-26
浙江,128,0,2020-01-26
河南,128,1,2020-01-26
重庆,110,0,2020-01-26
湖南,100,0,2020-01-26
湖北,1423,76,2020-01-27
安徽,70,0,2020-01-27
四川,69,0,2020-01-27
北京,68,0,2020-01-27
山东,63,0,2020-01-27
广东,146,0,2020-01-27
浙江,128,0,2020-01-27
河南,128,1,2020-01-27
重庆,110,0,2020-01-27
湖南,100,0,2020-01-27
湖北,3554,125,2020-01-28
重庆,147,0,2020-01-28
山东,121,0,2020-01-28
江西,109,0,2020-01-28
四川,108,0,2020-01-28
浙江,296,0,2020-01-28
江苏,99,0,2020-01-28
北京,91,1,2020-01-28
福建,82,0,2020-01-28
上海,80,1,2020-01-28
广东,241,0,2020-01-28
湖南,221,0,2020-01-28
河南,206,2,2020-01-28
安徽,152,0,2020-01-28
湖北,4586,162,2020-01-29
重庆,165,0,2020-01-29
江西,162,0,2020-01-29
山东,145,0,2020-01-29
四川,142,1,2020-01-29
浙江,428,0,2020-01-29
江苏,129,0,2020-01-29
北京,111,1,2020-01-29
上海,101,1,2020-01-29
福建,101,0,2020-01-29
广西,78,0,2020-01-29
云南,70,0,2020-01-29
河北,65,1,2020-01-29
陕西,56,0,2020-01-29
海南,43,1,2020-01-29
黑龙江,43,1,2020-01-29
广东,311,0,2020-01-29
辽宁,39,0,2020-01-29
山西,35,0,2020-01-29
天津,28,0,2020-01-29
甘肃,26,0,2020-01-29
内蒙古,16,0,2020-01-29
吉林,14,0,2020-01-29
新疆,14,0,2020-01-29
贵州,12,0,2020-01-29
宁夏,12,0,2020-01-29
青海,6,0,2020-01-29
河南,278,2,2020-01-29
湖南,277,0,2020-01-29
安徽,200,0,2020-01-29
湖北,5806,204,2020-01-30
安徽,237,0,2020-01-30
重庆,206,0,2020-01-30
山东,178,0,2020-01-30
四川,177,1,2020-01-30
浙江,537,0,2020-01-30
江苏,168,0,2020-01-30
上海,128,1,2020-01-30
北京,121,1,2020-01-30
福建,101,0,2020-01-30
广西,87,0,2020-01-30
河北,82,1,2020-01-30
云南,76,0,2020-01-30
陕西,63,0,2020-01-30
黑龙江,59,2,2020-01-30
广东,393,0,2020-01-30
海南,50,1,2020-01-30
辽宁,45,0,2020-01-30
山西,39,0,2020-01-30
天津,31,0,2020-01-30
甘肃,29,0,2020-01-30
内蒙古,19,0,2020-01-30
宁夏,17,0,2020-01-30
新疆,17,0,2020-01-30
贵州,15,0,2020-01-30
吉林,14,0,2020-01-30
青海,8,0,2020-01-30
河南,352,2,2020-01-30
湖南,332,0,2020-01-30
江西,240,0,2020-01-30
湖北,7153,249,2020-01-31
江西,286,0,2020-01-31
重庆,238,1,2020-01-31
四川,207,1,2020-01-31
山东,202,0,2020-01-31
浙江,599,0,2020-01-31
江苏,202,0,2020-01-31
上海,153,1,2020-01-31
北京,139,1,2020-01-31
福建,120,0,2020-01-31
广西,100,0,2020-01-31
河北,96,1,2020-01-31
陕西,87,0,2020-01-31
云南,83,0,2020-01-31
黑龙江,80,2,2020-01-31
广东,520,0,2020-01-31
辽宁,60,0,2020-01-31
海南,57,2,2020-01-31
山西,47,0,2020-01-31
甘肃,35,0,2020-01-31
天津,34,0,2020-01-31
贵州,29,0,2020-01-31
宁夏,26,0,2020-01-31
内蒙古,20,0,2020-01-31
吉林,17,0,2020-01-31
新疆,17,0,2020-01-31
青海,8,0,2020-01-31
河南,422,2,2020-01-31
湖南,389,0,2020-01-31
安徽,297,0,2020-01-31
湖北,9074,294,2020-02-01
安徽,340,0,2020-02-01
江西,333,0,2020-02-01
重庆,262,1,2020-02-01
江苏,236,0,2020-02-01
四川,231,1,2020-02-01
浙江,661,0,2020-02-01
山东,225,0,2020-02-01
上海,177,1,2020-02-01
北京,168,1,2020-02-01
福建,144,0,2020-02-01
广西,111,0,2020-02-01
河北,104,1,2020-02-01
陕西,101,0,2020-02-01
黑龙江,95,2,2020-02-01
云南,93,0,2020-02-01
广东,604,0,2020-02-01
辽宁,64,0,2020-02-01
海南,63,1,2020-02-01
山西,56,0,2020-02-01
天津,45,0,2020-02-01
甘肃,40,0,2020-02-01
贵州,38,0,2020-02-01
宁夏,28,0,2020-02-01
吉林,23,0,2020-02-01
内蒙古,23,0,2020-02-01
新疆,21,0,2020-02-01
青海,9,0,2020-02-01
河南,493,2,2020-02-01
湖南,463,0,2020-02-01
湖北,11177,350,2020-02-02
江西,391,0,2020-02-02
重庆,300,2,2020-02-02
江苏,271,0,2020-02-02
四川,254,1,2020-02-02
浙江,724,0,2020-02-02
山东,246,0,2020-02-02
上海,193,1,2020-02-02
北京,191,1,2020-02-02
福建,159,0,2020-02-02
陕西,128,0,2020-02-02
广西,127,0,2020-02-02
黑龙江,118,2,2020-02-02
河北,113,1,2020-02-02
广东,683,0,2020-02-02
云南,105,0,2020-02-02
海南,70,1,2020-02-02
辽宁,70,0,2020-02-02
山西,66,0,2020-02-02
甘肃,51,0,2020-02-02
天津,48,0,2020-02-02
贵州,46,0,2020-02-02
宁夏,31,0,2020-02-02
吉林,31,0,2020-02-02
内蒙古,27,0,2020-02-02
新疆,24,0,2020-02-02
青海,11,0,2020-02-02
西藏,1,0,2020-02-02
河南,566,2,2020-02-02
湖南,521,0,2020-02-02
安徽,408,0,2020-02-02
湖北,13522,414,2020-02-03
江西,476,0,2020-02-03
重庆,337,2,2020-02-03
江苏,308,0,2020-02-03
四川,282,1,2020-02-03
浙江,829,0,2020-02-03
山东,270,0,2020-02-03
北京,212,1,2020-02-03
上海,208,1,2020-02-03
福建,179,0,2020-02-03
黑龙江,155,2,2020-02-03
陕西,142,0,2020-02-03
广西,139,0,2020-02-03
河北,126,1,2020-02-03
广东,797,0,2020-02-03
云南,117,0,2020-02-03
海南,79,1,2020-02-03
辽宁,74,0,2020-02-03
山西,74,0,2020-02-03
天津,60,0,2020-02-03
贵州,56,0,2020-02-03
甘肃,55,0,2020-02-03
吉林,42,0,2020-02-03
宁夏,34,0,2020-02-03
内蒙古,34,0,2020-02-03
新疆,29,0,2020-02-03
青海,15,0,2020-02-03
西藏,1,0,2020-02-03
河南,675,2,2020-02-03
湖南,593,0,2020-02-03
安徽,480,0,2020-02-03
湖北,16678,479,2020-02-04
安徽,530,0,2020-02-04
重庆,366,2,2020-02-04
江苏,341,0,2020-02-04
四川,301,1,2020-02-04
浙江,895,0,2020-02-04
山东,298,0,2020-02-04
上海,233,1,2020-02-04
北京,228,1,2020-02-04
福建,194,0,2020-02-04
黑龙江,190,2,2020-02-04
广西,150,0,2020-02-04
陕西,142,0,2020-02-04
河北,135,1,2020-02-04
广东,870,0,2020-02-04
云南,122,0,2020-02-04
海南,89,1,2020-02-04
辽宁,81,0,2020-02-04
山西,81,0,2020-02-04
天津,67,0,2020-02-04
贵州,64,0,2020-02-04
甘肃,57,0,2020-02-04
吉林,54,0,2020-02-04
内蒙古,42,0,2020-02-04
宁夏,34,0,2020-02-04
新疆,32,0,2020-02-04
青海,17,0,2020-02-04
西藏,1,0,2020-02-04
河南,764,2,2020-02-04
湖南,661,0,2020-02-04
江西,548,0,2020-02-04
湖北,19665,549,2020-02-05
安徽,591,0,2020-02-05
重庆,389,2,2020-02-05
江苏,373,0,2020-02-05
山东,343,0,2020-02-05
浙江,954,0,2020-02-05
四川,321,1,2020-02-05
上海,254,1,2020-02-05
北京,253,1,2020-02-05
黑龙江,227,3,2020-02-05
福建,205,0,2020-02-05
陕西,173,0,2020-02-05
广西,168,0,2020-02-05
河北,157,1,2020-02-05
广东,944,0,2020-02-05
云南,128,0,2020-02-05
海南,100,1,2020-02-05
辽宁,89,0,2020-02-05
山西,81,0,2020-02-05
天津,69,1,2020-02-05
贵州,64,1,2020-02-05
甘肃,62,0,2020-02-05
吉林,54,0,2020-02-05
内蒙古,46,0,2020-02-05
宁夏,40,0,2020-02-05
新疆,36,0,2020-02-05
青海,18,0,2020-02-05
西藏,1,0,2020-02-05
河南,851,2,2020-02-05
湖南,711,0,2020-02-05
江西,600,0,2020-02-05
湖北,22112,618,2020-02-06
江西,661,0,2020-02-06
重庆,411,2,2020-02-06
江苏,408,0,2020-02-06
山东,379,0,2020-02-06
广东,1018,1,2020-02-06
四川,344,1,2020-02-06
黑龙江,277,3,2020-02-06
北京,274,1,2020-02-06
上海,269,1,2020-02-06
福建,215,0,2020-02-06
陕西,184,0,2020-02-06
广西,172,0,2020-02-06
河北,171,1,2020-02-06
云南,135,0,2020-02-06
海南,114,2,2020-02-06
山西,96,0,2020-02-06
辽宁,94,0,2020-02-06
天津,79,1,2020-02-06
贵州,77,1,2020-02-06
甘肃,67,0,2020-02-06
浙江,1006,0,2020-02-06
吉林,65,1,2020-02-06
内蒙古,50,0,2020-02-06
宁夏,43,0,2020-02-06
新疆,39,0,2020-02-06
青海,18,0,2020-02-06
西藏,1,0,2020-02-06
河南,914,3,2020-02-06
湖南,772,0,2020-02-06
安徽,665,0,2020-02-06
湖北,24953,699,2020-02-07
江西,698,0,2020-02-07
江苏,439,0,2020-02-07
重庆,426,2,2020-02-07
山东,407,0,2020-02-07
广东,1075,1,2020-02-07
四川,363,1,2020-02-07
北京,297,1,2020-02-07
黑龙江,295,5,2020-02-07
上海,281,1,2020-02-07
福建,224,0,2020-02-07
河北,195,1,2020-02-07
陕西,195,0,2020-02-07
广西,183,0,2020-02-07
云南,138,0,2020-02-07
海南,124,2,2020-02-07
山西,104,0,2020-02-07
辽宁,99,0,2020-02-07
贵州,89,1,2020-02-07
天津,81,1,2020-02-07
甘肃,71,1,2020-02-07
吉林,69,1,2020-02-07
浙江,1048,0,2020-02-07
内蒙古,50,0,2020-02-07
宁夏,45,0,2020-02-07
新疆,39,0,2020-02-07
青海,18,0,2020-02-07
西藏,1,0,2020-02-07
河南,981,4,2020-02-07
湖南,803,0,2020-02-07
安徽,733,0,2020-02-07
湖北,27100,780,2020-02-08
江西,740,0,2020-02-08
江苏,468,0,2020-02-08
重庆,446,2,2020-02-08
山东,435,1,2020-02-08
广东,1120,1,2020-02-08
四川,386,1,2020-02-08
北京,315,2,2020-02-08
黑龙江,307,6,2020-02-08
上海,292,1,2020-02-08
福建,239,0,2020-02-08
陕西,208,0,2020-02-08
河北,206,2,2020-02-08
广西,195,1,2020-02-08
云南,140,0,2020-02-08
海南,128,2,2020-02-08
山西,115,0,2020-02-08
辽宁,105,0,2020-02-08
贵州,96,1,2020-02-08
天津,88,1,2020-02-08
甘肃,79,1,2020-02-08
吉林,78,1,2020-02-08
浙江,1075,0,2020-02-08
内蒙古,54,0,2020-02-08
宁夏,45,0,2020-02-08
新疆,45,0,2020-02-08
青海,18,0,2020-02-08
西藏,1,0,2020-02-08
河南,1033,6,2020-02-08
湖南,838,1,2020-02-08
安徽,779,1,2020-02-08
湖北,29631,871,2020-02-09
江西,771,1,2020-02-09
江苏,492,0,2020-02-09
重庆,468,2,2020-02-09
山东,459,1,2020-02-09
广东,1151,1,2020-02-09
四川,405,1,2020-02-09
黑龙江,331,7,2020-02-09
北京,326,2,2020-02-09
上海,295,1,2020-02-09
福建,261,0,2020-02-09
河北,218,2,2020-02-09
陕西,213,0,2020-02-09
广西,210,1,2020-02-09
云南,141,0,2020-02-09
海南,136,3,2020-02-09
山西,119,0,2020-02-09
贵州,109,1,2020-02-09
辽宁,107,0,2020-02-09
天津,91,1,2020-02-09
甘肃,83,2,2020-02-09
浙江,1092,0,2020-02-09
吉林,80,1,2020-02-09
内蒙古,58,0,2020-02-09
宁夏,49,0,2020-02-09
新疆,49,0,2020-02-09
青海,18,0,2020-02-09
西藏,1,0,2020-02-09
河南,1073,6,2020-02-09
湖南,879,1,2020-02-09
安徽,830,3,2020-02-09
